Cell_Type	TF/DNase/HM	Treatment	DeepSEA_auROC	DanQ_auROC	DanQ-JASPAR_auROC	ChromDL_auROC	DeepSEA_auPRC	DanQ_auPRC	DanQ-JASPAR_auPRC	ChromDL_auPRC
K562	RBBP5	None	0.96120623	0.9644706488	0.9659898602	0.9643628065102565	0.4377177306	0.4644582196	0.4712045733	0.440056651720173
K562	SAP30	None	0.983896185	0.9852306994	0.9853598619	0.9840792738728467	0.3694789309	0.39310946	0.4045027333	0.39429566244546643
NH-A	CTCF	None	0.9802973	0.9845971005	0.9865739076	0.9880877902429571	0.6580704962	0.6875824863	0.7028876098	0.7219693349017592
NH-A	EZH2	None	0.986685557	0.988368782	0.9882851576	0.9868208325130509	0.3599478829	0.3987127271	0.4150729698	0.37474285465366763
NHDF-Ad	CTCF	None	0.976131175	0.9804474397	0.9829092571	0.985075213786611	0.6184704078	0.6535446682	0.6695206568	0.6823808697421089
NHDF-Ad	EZH2	None	0.985680664	0.9875543693	0.986955128	0.985854904128589	0.3151414248	0.3337529063	0.3448397937	0.31625751977190364
NHEK	CTCF	None	0.972821769	0.9778310698	0.9809396865	0.9830874088929419	0.634254649	0.6670594032	0.6823347375	0.699582369945437
NHEK	EZH2	None	0.978477202	0.9799864113	0.980734817	0.978944662943256	0.3021336967	0.3157092454	0.3330726839	0.2973707650116229
NHEK	Pol2(b)	None	0.858047706	0.8703413276	0.8730132103	0.8753967843150061	0.0886599013	0.0983012757	0.098653143	0.10335827308305862
NHLF	CTCF	None	0.980536775	0.9839292003	0.985494076	0.9871827196343059	0.6335788106	0.670823372	0.6830652013	0.6987534655696506
NHLF	EZH2	None	0.974710131	0.9775796968	0.9780148663	0.9754996153199319	0.2605260639	0.2815290078	0.2880523893	0.2561277060985674
Osteobl	CTCF	None	0.96530837	0.9720288862	0.974641306	0.9784971416055351	0.6701567958	0.7027804547	0.7124233217	0.7266125066214948
A549	ATF3	EtOH_0.02pct	0.913191801	0.9264451382	0.9302667377	0.9395705409768621	0.1156891746	0.1526060859	0.1644041678	0.19068924972099982
A549	BCL3	EtOH_0.02pct	0.867672168	0.885564787	0.8896445111	0.8990506532166093	0.0965988712	0.1252343956	0.13488281	0.14906922083903312
A549	CREB1	DEX_100nM	0.965667429	0.9707381698	0.9751988107	0.9792209168193561	0.440254602	0.460590878	0.4722409415	0.47533200858221675
A549	CTCF	DEX_100nM	0.987773364	0.9890462208	0.989452416	0.9904849511351036	0.5615943806	0.5953253649	0.6026868212	0.6137438552817833
A549	CTCF	EtOH_0.02pct	0.987068508	0.9890167653	0.9898131995	0.9902173473864538	0.6045159522	0.6366799232	0.6486217846	0.6529596220516536
A549	ELF1	EtOH_0.02pct	0.938142161	0.9430139601	0.9476777723	0.9557192225207377	0.284819154	0.3125382996	0.3263152759	0.35105349959851123
A549	ETS1	EtOH_0.02pct	0.94348497	0.9539543235	0.9574034223	0.9588441784370467	0.2728200465	0.3286600881	0.3273683297	0.3320721492766256
A549	FOSL2	EtOH_0.02pct	0.932658125	0.9388592782	0.9415868826	0.9510682163237665	0.3436661118	0.3583663102	0.3678631104	0.4012125495451969
A549	FOXA1	DEX_100nM	0.900893332	0.9087721073	0.9447428751	0.961836928742441	0.0546206532	0.0666712185	0.1451606436	0.20708836352649485
A549	GABP	EtOH_0.02pct	0.943008355	0.950767034	0.9538515123	0.9618421560893395	0.3657591591	0.4093104536	0.4112527958	0.4381694490567047
A549	GR	DEX_500pM	0.922765243	0.9298149609	0.9495471386	0.9734566258325913	0.0265567574	0.0499302535	0.0527968841	0.09005234493185453
A549	GR	DEX_50nM	0.863613911	0.879447292	0.9361639391	0.9527896645464234	0.1399418871	0.1568244938	0.2870797628	0.35713766607001385
A549	GR	DEX_5nM	0.891522056	0.9035275558	0.945185153	0.9607545395290734	0.112678278	0.1256717768	0.1907263731	0.2360467165680903
A549	GR	DEX_100nM	0.889334483	0.9071279742	0.9469760718	0.9593786990317649	0.1503976556	0.1695907435	0.2528581938	0.29547539458114735
A549	NRSF	EtOH_0.02pct	0.904815163	0.9124184714	0.915961175	0.9458043841373721	0.2423103444	0.2976020104	0.3118385927	0.35430380160820607
A549	p300	EtOH_0.02pct	0.883371053	0.8945068734	0.9013679742	0.9144083566604458	0.1795984696	0.2020195342	0.2141727035	0.25613232433110966
A549	Pol2	DEX_100nM	0.959203153	0.9620424255	0.9623946038	0.9629324176754802	0.6167099767	0.6290626753	0.6333890097	0.62162595451838
A549	Pol2	EtOH_0.02pct	0.960457188	0.9627685921	0.9631449594	0.9636371703844839	0.6341176844	0.647462131	0.6498752533	0.6422921007600919
A549	Sin3Ak-20	EtOH_0.02pct	0.885424571	0.8994366684	0.9034507076	0.9047615952079993	0.1022110914	0.1213813776	0.1290610381	0.13035138957583753
A549	SIX5	EtOH_0.02pct	0.940631616	0.9518052788	0.9570528537	0.9616412420314673	0.247223069	0.3205163571	0.3281333775	0.3403635842298258
A549	TAF1	EtOH_0.02pct	0.933993717	0.940490221	0.9429302203	0.9482484642375039	0.3615552207	0.3900378902	0.3961077968	0.37899762963058115
A549	TCF12	EtOH_0.02pct	0.881868319	0.8955252256	0.9016646363	0.9160633987010673	0.2044397311	0.2329184519	0.238297591	0.2718059799045918
